p,N,lam,nu_c,a_c,nu_u,a_u,w_emp,w_theory
0.5,10,2.5,1.0841195162425932,1.0331904788724926,1.1469879298238588,1.0779410048240956,0.9456,0.9179150013761012
0.5,20,5.0,0.9183838622624094,1.1529503980442153,0.8793750223787867,1.2317328893914814,0.9964,0.9932620530009145
0.5,50,12.5,1.0693021679380477,0.9705235184515885,1.0693021679380477,0.9705235184515885,1.0,0.999996273346828
0.5,100,25.0,1.0116708073886926,0.9878229786043172,1.0116708073886926,0.9878229786043172,1.0,0.9999999999861121
0.5,200,50.0,1.0158455928505472,0.9983676293791028,1.0158455928505472,0.9983676293791028,1.0,1.0
0.5,500,125.0,1.0355011301817911,0.923056551741415,1.0355011301817911,0.923056551741415,1.0,1.0
0.5,1000,250.0,0.9532523020050238,1.059106042535423,0.9532523020050238,1.059106042535423,1.0,1.0
0.3,10,0.8999999999999999,1.0706265942609454,1.0804793648594502,1.4124071928021982,0.8964293493956456,0.6198,0.5934303402594008
0.3,20,1.7999999999999998,0.9076975294723896,1.0187822974718592,1.1522395307022693,1.0506534384117758,0.8532,0.8347011117784134
0.3,50,4.5,0.9690643451247988,1.0293807369042531,0.9342927493445097,1.1090438709827384,0.9932,0.9888910034617577
0.3,100,9.0,0.9674662895970348,1.0548038284922845,0.9674662895970348,1.0548038284922845,1.0,0.9998765901959134
0.3,200,18.0,0.934536034597016,1.0717501997670074,0.934536034597016,1.0717501997670074,1.0,0.9999999847700203
0.3,500,45.0,1.0370149743524217,0.9812915763141258,1.0370149743524217,0.9812915763141258,1.0,1.0
0.3,1000,90.0,1.0278625325328834,0.9478230314709779,1.0278625325328834,0.9478230314709779,1.0,1.0
0.1,10,0.10000000000000002,4.74036736981216,0.6904445807497644,0.33511350932635453,1.4161343913979851,0.0948,0.09516258196404048
0.1,20,0.20000000000000004,2.534874666472625,0.9330666929581665,0.6882639321876108,1.071739890584657,0.1874,0.18126924692201818
0.1,50,0.5000000000000001,1.1721145041187986,1.0430245576864094,1.69227287718844,0.6020214121104741,0.3906,0.3934693402873667
0.1,100,1.0000000000000002,0.6637435588183696,1.1628690175118699,1.6479288859097825,0.7077945384646347,0.6292,0.6321205588285578
0.1,200,2.0000000000000004,0.9256167833646347,0.8061935522013736,1.1630987039830099,1.00037632398498,0.8608,0.8646647167633874
0.1,500,5.000000000000001,1.0706740337030571,0.9322083999763616,0.9668300712487461,1.080070792780236,0.9946,0.9932620530009145
0.1,1000,10.000000000000002,0.9605198608863111,1.0436303708365458,0.9605198608863111,1.0436303708365458,1.0,0.9999546000702375
0.05,10,0.025000000000000005,10.723726063858592,0.38631604230005695,0.08930575962708279,1.7563215812491477,0.0274,0.024690087971667385
0.05,20,0.05000000000000001,6.567317518954449,0.6554160263445598,0.16644653793831318,1.9032742370767188,0.0526,0.048770575499285984
0.05,50,0.12500000000000003,3.9451447132007886,0.768871950028788,0.4537379729969223,1.2406496156033786,0.1164,0.11750309741540466
0.05,100,0.25000000000000006,2.262474354882747,0.8384732933575225,1.135059494345908,0.7026609120070932,0.219,0.22119921692859512
0.05,200,0.5000000000000001,1.184651166587198,0.9325199324534978,2.2266897462620046,0.4554972389868894,0.3902,0.3934693402873667
0.05,500,1.2500000000000002,0.6142715038875153,1.0117017434357167,1.525235516569328,0.7367046121608232,0.7152,0.71349520313981
0.05,1000,2.5000000000000004,0.9562047857901416,0.8314803928246554,1.02514401515658,1.0827930866085473,0.9192,0.9179150013761013
0.02,10,0.004,,,0.012037323903748932,2.0093336863318694,0.0032,0.003992010656008516
0.02,20,0.008,30.944233116472184,0.22011200457006957,0.026969025921649126,2.797923048835837,0.0086,0.007968085162939342
0.02,50,0.02,12.781780343151489,0.4245358229565817,0.0656300437028195,2.2615232280671407,0.0202,0.019801326693244747
0.02,100,0.04,8.137290049371744,0.5745046370633161,0.13180772925630832,1.9458559559155515,0.0386,0.03921056084767682
0.02,200,0.08,7.3802505014166035,0.45571345058791546,0.32587136846464865,1.1944977231564673,0.0728,0.07688365361336424
0.02,500,0.2,3.8981521618705424,0.5209392649328786,1.1726717187378983,0.5889916029553065,0.1826,0.18126924692201818
0.02,1000,0.4,1.6463731450498038,0.7364512823659229,2.55027506766271,0.36374874627637627,0.331,0.3296799539643607
0.01,10,0.001,,,0.003846099187116397,2.4682550637233986,0.0014,0.000999500166624978
0.01,20,0.002,,,0.005725892318507688,2.706260640121627,0.0018,0.001998001332666921
0.01,50,0.005,,,0.013301137108842197,3.347880892826933,0.0044,0.00498752080731768
0.01,100,0.01,23.287956194670212,0.3168138404964321,0.029983569614136604,3.0871140407016924,0.0098,0.009950166250831893
0.01,200,0.02,16.4915974392548,0.3466273920454485,0.06210028587103225,2.2744870273161024,0.018,0.019801326693244747
0.01,500,0.05,15.969731512559441,0.2659091403509287,0.19805772206223493,1.4966073644561828,0.0474,0.048770575499285984
0.01,1000,0.1,9.13822565525312,0.33703043950818057,0.4841762955170991,0.9564486439968627,0.0914,0.09516258196404048
