target,formula,n,n_features,alpha,train_r2,random_cv_r2,group_cv_r2,train_mae,train_rmse,features,coefficients
a,weighted_frac,10670,8,1e-08,0.8670970055130945,0.8666485118007833,0.860751566954624,0.04062355480295108,0.06250076228887433,"inv_lam_tp,inv_sqrt_lam_tp,frac_cells_lt_1,frac_cells_lt_5,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_frac_lt5,inv_sqrt_lam_min_x_frac_lt5","{""frac_cells_lt_1"": -0.80238101636947, ""frac_cells_lt_5"": 0.35369462341397845, ""inv_lam_min_x_frac_lt1"": -0.11910653940937697, ""inv_lam_min_x_frac_lt5"": 0.1519103476001342, ""inv_lam_tp"": -0.0002204822035358065, ""inv_sqrt_lam_min_x_frac_lt1"": 0.43761818942177905, ""inv_sqrt_lam_min_x_frac_lt5"": -0.5367574215197282, ""inv_sqrt_lam_tp"": 0.0017475148360730627}"
a,hybrid_weighted,10670,11,1e-06,0.8535162172449191,0.8527034062398633,0.8483545895401629,0.04404013216348229,0.06561644607046477,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0","{""frac_cells_lt_1"": 0.23755196750790442, ""frac_cells_lt_5"": -0.058215488957516895, ""inv_lam_min_x_frac_lt1"": 0.08923273373726592, ""inv_lam_min_x_n_lt1_norm_nu0"": -0.023218751154410276, ""inv_lam_sqrt_harm"": -0.00421435045975669, ""inv_lam_tp"": 4.171361713003028e-05, ""inv_sqrt_lam_min_x_frac_lt1"": -0.573562709778622, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": 0.30523898311916065, ""inv_sqrt_lam_tp"": 0.0009687915898892806, ""n_lt1_norm_nu0"": -0.4821679335769964, ""n_lt5_norm_nu0"": 0.03783743557843282}"
a,baseline_mixed,10670,7,1e-06,0.8405771985125479,0.8403158018383962,0.8373027356661176,0.04620929590920177,0.06845310453832992,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": -0.5065024015558364, ""frac_cells_lt_5"": -0.0048396229236784966, ""inv_lam_min"": 0.001510934932305632, ""inv_lam_sqrt_harm"": -0.0030601282695131337, ""inv_lam_tp"": 9.91086895297946e-05, ""inv_sqrt_lam_min"": 0.02062518634155352, ""inv_sqrt_lam_tp"": -0.0037771136946621836}"
a,weighted_count,10670,8,1e-06,0.8409162550167879,0.8402018279988367,0.8339342903904791,0.04640314855662384,0.0683802736020223,"inv_lam_tp,inv_sqrt_lam_tp,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0,inv_lam_min_x_n_lt5_norm_nu0,inv_sqrt_lam_min_x_n_lt5_norm_nu0","{""inv_lam_min_x_n_lt1_norm_nu0"": -0.03846836231365895, ""inv_lam_min_x_n_lt5_norm_nu0"": 0.09510760729164715, ""inv_lam_tp"": -0.0002320896590992158, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": 0.09175417062159381, ""inv_sqrt_lam_min_x_n_lt5_norm_nu0"": -0.30802836152753776, ""inv_sqrt_lam_tp"": -0.0024497245842391327, ""n_lt1_norm_nu0"": -0.33604965509848017, ""n_lt5_norm_nu0"": 0.2078513633757002}"
a,baseline_lambda_tp,10670,2,1.0,0.5437966726036674,0.5433538627831678,0.5374428728893987,0.08403025760632639,0.11579695927683802,"inv_lam_tp,inv_sqrt_lam_tp","{""inv_lam_tp"": -0.00020485711407145722, ""inv_sqrt_lam_tp"": -0.013129602074405208}"
nu_norm,hybrid_weighted,10670,11,1e-06,0.7701371353267141,0.7678980762486118,0.7418113574394798,0.08582795207840917,0.16974102838735797,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0","{""frac_cells_lt_1"": -3.103684649829719, ""frac_cells_lt_5"": 0.043216326951713804, ""inv_lam_min_x_frac_lt1"": -1.1401407990249695, ""inv_lam_min_x_n_lt1_norm_nu0"": 0.7326949602971384, ""inv_lam_sqrt_harm"": 0.004342890963424543, ""inv_lam_tp"": -4.4794664242335884e-05, ""inv_sqrt_lam_min_x_frac_lt1"": 5.0589513140523374, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": -3.6607881733149545, ""inv_sqrt_lam_tp"": 0.00243610820571298, ""n_lt1_norm_nu0"": 3.245288774228257, ""n_lt5_norm_nu0"": 0.05120909199339084}"
nu_norm,weighted_frac,10670,8,1e-08,0.747083252328629,0.7458276807507362,0.7207456857226824,0.09091052801305231,0.1780496875441874,"inv_lam_tp,inv_sqrt_lam_tp,frac_cells_lt_1,frac_cells_lt_5,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_frac_lt5,inv_sqrt_lam_min_x_frac_lt5","{""frac_cells_lt_1"": 1.2434109373228954, ""frac_cells_lt_5"": -0.06774343544848767, ""inv_lam_min_x_frac_lt1"": -0.060645181964725896, ""inv_lam_min_x_frac_lt5"": -0.12135183908650439, ""inv_lam_tp"": 0.00033504969510167237, ""inv_sqrt_lam_min_x_frac_lt1"": -0.021372233098529415, ""inv_sqrt_lam_min_x_frac_lt5"": 0.31141822519145324, ""inv_sqrt_lam_tp"": 0.004396881074459584}"
nu_norm,baseline_mixed,10670,7,1e-06,0.7198354015045437,0.7190531122561353,0.6859320217654621,0.10327079187381129,0.18739545357336881,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": 1.069410526115188, ""frac_cells_lt_5"": 0.14304803231451882, ""inv_lam_min"": -0.06331155882101801, ""inv_lam_sqrt_harm"": -0.004638255688193864, ""inv_lam_tp"": 0.0001662786512292725, ""inv_sqrt_lam_min"": 0.020996110465955748, ""inv_sqrt_lam_tp"": 0.013525540355317245}"
nu_norm,weighted_count,10670,8,0.01,0.7019673108388269,0.7000316498354588,0.6737120971235848,0.10617948901391522,0.19327886756336224,"inv_lam_tp,inv_sqrt_lam_tp,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0,inv_lam_min_x_n_lt5_norm_nu0,inv_sqrt_lam_min_x_n_lt5_norm_nu0","{""inv_lam_min_x_n_lt1_norm_nu0"": -0.109132578052523, ""inv_lam_min_x_n_lt5_norm_nu0"": -0.08208355002921641, ""inv_lam_tp"": 0.00024167698577816225, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": 0.3024502104315863, ""inv_sqrt_lam_min_x_n_lt5_norm_nu0"": 0.17138909170446448, ""inv_sqrt_lam_tp"": 0.016584958482869172, ""n_lt1_norm_nu0"": 0.4877835991683456, ""n_lt5_norm_nu0"": -0.0569745446126405}"
nu_norm,baseline_lambda_tp,10670,2,1e-08,0.4328609248774875,0.432080720947028,0.4078240551169381,0.16401748025245416,0.2666227521173114,"inv_lam_tp,inv_sqrt_lam_tp","{""inv_lam_tp"": -0.00015700311608879866, ""inv_sqrt_lam_tp"": 0.0386509093340128}"
