k,n,nu0,A_nu,A_a,r2_nu,r2_a
2,4,1,0.04017455297044123,0.11452322382021571,0.25219700245022014,-1.0130832914905907
3,8,4,0.29973577188611966,-0.012939911375867266,0.6843073652445326,0.13034748464379697
4,10,9,0.39769411886342415,-0.014557820768181632,0.8021594592136945,0.4960367373266108
5,11,16,0.47951247673770103,-0.011087903596009198,0.8325725742071917,0.6240427072676104
6,12,25,0.5116988012381531,-0.008013661155804081,0.8299292124712943,0.7046652869000851
7,11,36,0.602142751775487,-0.00608049289274722,0.8626110328853998,0.6662410477126799
8,12,49,0.6318682356806736,-0.004772844887189738,0.8921274078100279,0.7464120591951506
9,11,64,0.708942325220053,-0.003941174328583175,0.8538692726219016,0.7043108948306991
10,12,81,0.7283340670312631,-0.0032363135339915547,0.9033983542917216,0.7832220817195702
11,11,100,0.7386904937616567,-0.0026620727470054923,0.8605422964056538,0.6868017921358212
12,12,121,0.7883963980392663,-0.0022757863032728124,0.8979562524801153,0.7704091252977764
