regime,method,scenarios,mean_rejection_05,mean_absolute_fpr_error_05,scenarios_in_035_065,min_rejection_05,max_rejection_05
regular,paired_wald_normal,12,0.04458383350005557,0.010193944277722205,0.6666666666666666,0.01800600200066689,0.06766666666666667
regular,paired_wald_t,12,0.04194480567596606,0.010999638768478386,0.75,0.01300433477825942,0.06433333333333334
regular,paired_jackknife_t,12,0.037916814864214,0.013527629580230448,0.5833333333333334,0.0053351117039013,0.058333333333333334
regular,unpaired_wald_normal,12,0.036111111111111115,0.03361111111111111,0.16666666666666666,0.0,0.11533333333333333
sparse,paired_wald_normal,5,0.03343600464576074,0.016563995354239257,0.6,0.011846689895470384,0.049666666666666665
sparse,paired_wald_t,5,0.030205807200929153,0.019794192799070846,0.6,0.008362369337979094,0.04633333333333333
sparse,paired_jackknife_t,5,0.026553155680224406,0.023446844319775596,0.4,0.00876577840112202,0.03966666666666667
sparse,unpaired_wald_normal,5,0.021267781493868453,0.02873221850613155,0.4,0.0,0.048666666666666664
boundary,paired_wald_normal,3,0.018666666666666668,0.03133333333333334,0.3333333333333333,0.004333333333333333,0.044333333333333336
boundary,paired_wald_t,3,0.018444444444444444,0.03155555555555555,0.3333333333333333,0.004,0.044333333333333336
boundary,paired_jackknife_t,3,0.024555555555555553,0.02744444444444445,0.3333333333333333,0.009333333333333334,0.053
boundary,unpaired_wald_normal,3,0.017555555555555557,0.03244444444444444,0.3333333333333333,0.0013333333333333333,0.043666666666666666
