config,lam,w,t_chi2,t_zi,fpr_chi2,fpr_zi
"p=0.50, N=1000",250.0,1.0,0.0027710267951972867,0.0027710267951972867,0.0513,0.0513
"p=0.50, N=200",50.0,1.0,0.013855133975986433,0.013855133975986433,0.051,0.051
"p=0.50, N=50",12.5,0.999996273346828,0.05542053590394573,0.05542044575420293,0.0599,0.0599
"p=0.50, N=20",5.0,0.9932620530009145,0.13855133975986433,0.1381425534337296,0.0598,0.0598
"p=0.10, N=500",5.000000000000001,0.9932620530009145,0.005542053590394573,0.0055257021373491845,0.0539,0.0543
"p=0.10, N=100",1.0000000000000002,0.6321205588285578,0.027710267951972865,0.02224146358679801,0.0308,0.0635
"p=0.10, N=50",0.5000000000000001,0.3934693402873667,0.05542053590394573,0.0335842327164295,0.0267,0.0806
"p=0.05, N=200",0.5000000000000001,0.3934693402873667,0.013855133975986433,0.008396058179107374,0.0232,0.0604
"p=0.05, N=100",0.25000000000000006,0.22119921692859512,0.027710267951972865,0.010572097343280617,0.0221,0.1152
"p=0.05, N=50",0.12500000000000003,0.11750309741540466,0.05542053590394573,0.009161370535694739,0.0313,0.1862
"p=0.05, N=20",0.05000000000000001,0.048770575499285984,0.13855133975986433,,0.0322,
"p=0.01, N=500",0.05,0.048770575499285984,0.005542053590394573,,0.0258,
